location
"53.84, 27.44, 54.14, 27.74"
"53.87, 27.44, 54.17, 27.74"
"53.90, 27.44, 54.20, 27.74"
"53.93, 27.44, 54.23, 27.74"
"53.95, 27.44, 54.25, 27.74"
"53.84, 27.47, 54.14, 27.77"
"53.87, 27.47, 54.17, 27.77"
"53.90, 27.47, 54.20, 27.77"
"53.93, 27.47, 54.23, 27.77"
"53.95, 27.47, 54.25, 27.77"
"53.84, 27.50, 54.14, 27.80"
"53.87, 27.50, 54.17, 27.80"
"53.90, 27.50, 54.20, 27.80"
"53.93, 27.50, 54.23, 27.80"
"53.95, 27.50, 54.25, 27.80"
"53.84, 27.53, 54.14, 27.83"
"53.87, 27.53, 54.17, 27.83"
"53.90, 27.53, 54.20, 27.83"
"53.93, 27.53, 54.23, 27.83"
"53.95, 27.53, 54.25, 27.83"
"53.84, 27.56, 54.14, 27.86"
"53.87, 27.56, 54.17, 27.86"
"53.90, 27.56, 54.20, 27.86"
"53.93, 27.56, 54.23, 27.86"
"53.95, 27.56, 54.25, 27.86"
"53.84, 27.59, 54.14, 27.89"
"53.87, 27.59, 54.17, 27.89"
"53.90, 27.59, 54.20, 27.89"
"53.93, 27.59, 54.23, 27.89"
"53.95, 27.59, 54.25, 27.89"
"53.84, 27.62, 54.14, 27.92"
"53.87, 27.62, 54.17, 27.92"
"53.90, 27.62, 54.20, 27.92"
"53.93, 27.62, 54.23, 27.92"
"53.95, 27.62, 54.25, 27.92"
"53.84, 27.65, 54.14, 27.95"
"53.87, 27.65, 54.17, 27.95"
"53.90, 27.65, 54.20, 27.95"
"53.93, 27.65, 54.23, 27.95"
"53.95, 27.65, 54.25, 27.95"
"53.84, 27.68, 54.14, 27.98"
"53.87, 27.68, 54.17, 27.98"
"53.90, 27.68, 54.20, 27.98"
"53.93, 27.68, 54.23, 27.98"
"53.95, 27.68, 54.25, 27.98"
